"place_id","text","rating"
"0621e39bf9eaf732b3e52d83034a3821","the cup cafe vietnam có không gian được thiết kế đẹp mắt rất thích hợp để chụp ảnh và thư giãn đồ uống ở đây đa dạng hương vị thơm ngon đặc biệt là các loại cà phê nhân viên phục vụ thân thiện và chu đáo để tăng cường sự gắn kết quán ",5
"0621e39bf9eaf732b3e52d83034a3821","the cup cafe vietnam thực sự là một điểm đến lý tưởng cho những ai cần không gian làm việc hay thư giãn suốt cả ngày với ưu điểm mở cửa 2424 quán có thiết kế theo phong cách châu âu hiện đại rộng rãi và tràn ngập ánh sáng tự nhiên nhờ ",5
"0621e39bf9eaf732b3e52d83034a3821","the cup phú hòa nằm ngay vòng xoay phú hòa vị trí cực kỳ dễ tìm và thuận tiện cho cả học sinh  sinh viên dân văn phòng hay anh em ghé nhanh một ly cà phê mang đi ",5
"0621e39bf9eaf732b3e52d83034a3821","dự là đến ăn combo nhưng đến 1230 mà đã hết
phải gọi lẻ nên mất nhiều tiền hơn nên có nhiều hơn để đủ phục vụ tốt hơn
lần trước báo hết trái cây không mang ra thêm được nhưng khi mình ăn xong lại ",4
"0621e39bf9eaf732b3e52d83034a3821","mình đi hôm 1512 thấy có bảng này và mua thử nước trong danh sách xanh tinh tú nước mình có dặn nhân viên ít đá ít ngọt nhưng không thấy note vào bill lúc nhận thì xin cốc để vớt đá ra được chừng này do quán đông nên chắc cũng không ",3
"0621e39bf9eaf732b3e52d83034a3821","ê cái món này dở nhỏ xíu mà tận 55 kh đáng thực sự youkur xoài nha",1
"0621e39bf9eaf732b3e52d83034a3821","quán rất rộng không gian thoáng mát nhà vệ sinh sạch sẽ có chổ để ô tô và xe gắn máy thức ăn ngon buổi trưa có bán thêm đồ ăn trưa",4
"0621e39bf9eaf732b3e52d83034a3821","cơm gà mắm tỏi lúc trước sài cơm chiên đến khi ghé mua lại thì dùng cơm trắng nv od cũng kh báo trước cho khách cơm thì khô đóng cục lại kh đáng tiền",1
"0621e39bf9eaf732b3e52d83034a3821","mình đến cup từ lúc mới mở cửa và từ hôm nay mình sẽ không ghé lại nữa
tạm biệt nơi mình gắn bó để hoàn thành nhiều dự án ở cup thì thức uống không có gì đặc biệt nhưng cái giữ chân mình lại chính là không gian và thái độ của nhân viên nhưng hôm nay tất cả điểm cộng ấy đã không còn",1
"0621e39bf9eaf732b3e52d83034a3821","có lần đi ngang qua quán vào buổi tối thấy quán rất đẹp và sang nên lần sau vào định chụp choẹt vài tấm hình nhưng mà mình đi vào buổi chiều thấy trong quán toàn khách vào học với làm việc cả thôi nên khá ngại ",4
"0621e39bf9eaf732b3e52d83034a3821","quán rộng rãi thoáng mát nhưng điểm trừ là nước uống ly đó có hạt sen mà hạt sen nó đắng mong quán cải thiện lại giúp chứ bỏ tiền ra 1 ly nước kh phải rẻ mà trải nghiệm tệ quá",2
"0621e39bf9eaf732b3e52d83034a3821","hảo menu cơm niêu ngon ăn kèm salad trộn mayonnaise trái cây tráng miệng trà đá tự phục vụ thật ổn giá chỉ 55k ",5
"0621e39bf9eaf732b3e52d83034a3821","mình biết đến the cup cafe đã lâu nhưng hôm nay mới có dịp ghé qua ngồi lại lâu để chạy deadline và trải nghiệm thực sự vượt ngoài mong đợi ",5
"0621e39bf9eaf732b3e52d83034a3821","nhân viên thái độ với khách nếu cảm thấy đi làm không vui vẻ được thì đừng làm ",1
"0621e39bf9eaf732b3e52d83034a3821","menu đầy đủ từ thức uống bánh snack đến đồ ăn đặc biệt là cơm niêu
dịch vụ tốt
không gian rộng rãi sạch ",5
"0621e39bf9eaf732b3e52d83034a3821","có các món ăn giá từ 55kphần
không gian rộng
khu vực vệ sinh sạch sẽ và thơm mát ",5
"0621e39bf9eaf732b3e52d83034a3821","matcha latte không ngon toàn có vị sữa đặc không có chút nào vị matcha cả những món khác của the cup ngon nhưng riêng món này chê nha",3
"0621e39bf9eaf732b3e52d83034a3821","matcha đá xay dở không có vị ngọt toàn bột matcha uống rất đắng có hỗ trợ đổi ly nhưng nhân viên đem lại thì thái độ nói là do bột matcha có vị hậu đắng không có chỗ ngồi nhân viên sắp xếp bàn lâu ở khu vực bên ngoài trời mưa ướt bàn ghế nhân viên không lau đợi 30p mới có chỗ ngồi",1
"0621e39bf9eaf732b3e52d83034a3821","bầu không khí thoáng mát với nhiều cây xanh bãi đậu xe rộng rãi và nhân viên nhiệt tình chan hỏi",3
"0621e39bf9eaf732b3e52d83034a3821","hỏi nhân viên món best seller thì được gợi ý món tứ quý long nhãn hạt sen nhưng mà hạt sen cảm giác sượng sượng cứng cứng như chưa chín chứ không như những quán khác mình từng thử nó mềm và bùi",1
"0621e39bf9eaf732b3e52d83034a3821","tr oiii bạn nvien này dth ghê lun á pvu siu nhiệt tình lun  ",5
"0621e39bf9eaf732b3e52d83034a3821","trà xanh latte lẫn trà xanh đá xay đều khá dở vị nhạt nhẽo không vị trà xanh mà vị sữa cx lờ lợ nhân viên thái độ tệ không ghé lần sau  ",1
"0621e39bf9eaf732b3e52d83034a3821","quán đẹp  không khí mát mẻ thái độ phục vụ ok nhưng ra món đợi hơi lâu tí",5
"0621e39bf9eaf732b3e52d83034a3821","quán quá là ok mở 247 có không gian rộng cả trong và ngoài ghế bàn ok mềm tốt thư giản nói chung khá là tốt ko có điểm trừ j",4
"0621e39bf9eaf732b3e52d83034a3821","hôm nay mình đi với gia đinh vào lúc 0020 bạn nam đứng quầy oder rất thái độ với kháchkhách oder hỏi món thì k thèm nhìn thái độ rất tệ
đi làm là tự nguyện hay ai ép đi làm mà sao k đc vui í the cup xem lại thái độ nhân viên nha",1
"0621e39bf9eaf732b3e52d83034a3821","quán có vị trí rất đẹp ở chân căn hộ chung cư phú hòa mặt bằng rộng rãi đậu xe thoải mái quán trang trí đẹp thanh lịch đơn giản thức uống ngon đồ ăn tương đối ổn bánh mì ngon nhưng hơi cay nên phải dặn ớt ít thực đơn giá phù hợp với khu cao cấp từ 3080ng nhà vệ sinh hơi xa và chưa sạch lắm đánh giá tổng thể 4",4
"0621e39bf9eaf732b3e52d83034a3821","quán có trí đẹp không gian rộng rãi thoáng mát
menu nước đa dạng các loại trà sữa hạnh nhân ít ngọt khá hợp khẩu vị của mình đồ ăn cũng đa dạng có cơm phở hủ tiếu mình gọi mì ý theo mình thì ở mức ổn ",4
"0621e39bf9eaf732b3e52d83034a3821","trà xanh đá xay vị ngọt ngay ko có tý vị trà trà cam quế thì nhạt nhẽo quá tệ ",5
"0621e39bf9eaf732b3e52d83034a3821","quán có không khí yên tĩnh nhiều ổ điện thích hợp làm việc cafe và trà sữa theo phong cách nhẹ nhàng vị hơi chua không quá đắng",4
"0621e39bf9eaf732b3e52d83034a3821","quán có không gian thoáng ngay vòng xoay
có cả phòng máy lạnh và ngoài trời
món nước phong phú pha tương đối ngon nhiều loại bánh ",5
"0621e39bf9eaf732b3e52d83034a3821","trải nghiệm tệ nhất trong các chi nhánh up từng ghé thu ngân bắt khách phải trả tiền lẻ mặc dù khách không muốn tiếp đó tôi có dựng 1 đế standee nhỏ để làm 1 buổi trò chuyện nhỏ bằng tiếng anh để rất sát bàn không ảnh hướng đến lối đi  ",1
"0b10568015d253d7a446eea81905834b","ưu rất rẻ phục vụ hiền dễ thương quên lên món 45 bàn vô sau có món mà mình chưa nên mình nhắc nhưng xin lỗi suốt thoáng mát
nhược cơm chiên ko ngon thịt hơi nhiều mỡ nước chấm nhiều loại nhưng ko ngon",4
"0b10568015d253d7a446eea81905834b","đồ ăn ngon không gian thoải mái hơn chi nhánh 1 phần đồ nứong được có 1 trái đậu bắp mà còn chẻ đôi ra nhìn ngứa mắt nhân viên nên để ý dọn bàn cho khách xíu để trãi nghiệm của khách tốt hơn như bàn mình đi đông ăn nhìu mà dĩa nồi chồng trên bàn để dưới đất tùm lum mà không ai dọn nhìn không thoải mái",4
"0b10568015d253d7a446eea81905834b","đi ăn rất nhiều lần cả 2 chi nhánh mà nv bên đây rất md md nhất là th ql khách nch đ thèm trl một tiếng thái độ các kiểu ko biết ql hay là con chủ nữa nên train lại nv học hỏi theo chi nhánh 1 ko thì mất khách như chơi",1
"0b10568015d253d7a446eea81905834b","đồ ăn ngon giá mềm  ",5
"0b10568015d253d7a446eea81905834b","đồ ăn ngon có bạn nhân viên tên kha phục vụ rất dễ thương và nhiệt tình lắm",5
"0b10568015d253d7a446eea81905834b","đồ ăn cũng được giá rẻ mưa nhưng vẫn rất đông khách menu thì hơi ít món đi ăn 1 lần gọi hết menu rồi phục vụ có như không phải gọi nhắc 30p mới bưng than lên hoặc dọn dẹp chén đĩa dơ dùng rồi còn lại thì chỉ bấm đt hoặc tụm lại nói chuyện lúc mình đến bàn nhớt dầu như chưa lau dọn",3
"0b10568015d253d7a446eea81905834b","đồ ăn chất lượng giá cả hợp lí nhân viên nhiệt tình nhanh nhẹn",5
"0b10568015d253d7a446eea81905834b","đồ ăn chấp nhận được nói chung bình dân nhược điểm ngày t7 hoặc lễ k đặt k có trước ngày bình thường cũng có thể vậy nhậu lai rai cũng rất ok",5
"0b10568015d253d7a446eea81905834b","thuận tiện đi lại có chỗ gửi xe an toàn",3
"0b10568015d253d7a446eea81905834b","món nướng mình ăn ở đây rất okenma hnay mua nghêu hấp thái ở đây thì rất tệnước dùng thì mặn còn nghêu thì kh vệ sinh sạch sẽ ăn 1 con vô mà toàn là cát nên bỏ hết cả phần ăn luôn ",2
"0b10568015d253d7a446eea81905834b","nhân viên đây cực tệ mình đi ăn gọi món đợi 30 mới ra món trong khi đó nhờ nv thay vỉ tận 34ng mà k ai thay mà cứ đứng bấm đt riết rau là dc cho free mà phải xin tới khi ăn xong r mới đưa ra đồ ăn thì dạo này k còn tươi như trc nữa nv cx tệ hơn trc",1
"0b10568015d253d7a446eea81905834b","đồ ăn ngon lên món nhanh nhân viên tốt",5
